,station,date,pm25,latitude,longitude,sourceid,pm25_xgb,pm25_rf,pm25_lgbm
283,The RBS - AirVisual Outdoor,2025-10-05,51.04347826086956,-6.2291,106.8024,IQAir,51.342445,50.68063870545008,51.16884768837482
284,The RBS - AirVisual Outdoor,2025-10-05,51.04347826086956,-6.2291,106.8024,IQAir,51.36264,50.671390624843866,51.37748865990156
285,The RBS - AirVisual Outdoor,2025-10-05,51.04347826086956,-6.2291,106.8024,IQAir,51.36264,50.671390624843866,51.37748865990156
286,US Embassy in South Jakarta,2025-10-05,1.542857142857143,-6.2367,106.7932,IQAir,51.96412,51.000835164388,51.85899322616621
287,US Embassy in South Jakarta,2025-10-05,1.542857142857143,-6.2367,106.7932,IQAir,51.82537,51.01748115115693,51.693638726479456
288,"Widya Chandra, JK",2025-10-05,48.61818181818182,-6.2302,106.8147,IQAir,52.63713,52.68146574547004,52.71469514001124
289,"Widya Chandra, JK",2025-10-05,48.61818181818182,-6.2302,106.8147,IQAir,52.63713,52.68146574547004,52.71469514001124
290,"Widya Chandra, JK",2025-10-05,48.61818181818182,-6.2302,106.8147,IQAir,52.657326,53.16998316213781,52.95479777003604
291,"Widya Chandra, JK",2025-10-05,48.61818181818182,-6.2302,106.8147,IQAir,52.657326,53.16998316213781,52.95479777003604
292,Wisma Barito Pacific,2025-10-05,48.833333333333336,-6.197,106.7984,IQAir,41.047745,40.19750646778184,37.63763395641096
293,Wisma Barito Pacific,2025-10-05,48.833333333333336,-6.197,106.7984,IQAir,41.047745,40.19750646778184,37.63763395641096
294,Wisma Barito Pacific,2025-10-05,48.833333333333336,-6.197,106.7984,IQAir,40.744667,40.049996281973215,38.319064117389885
295,Wisma Barito Pacific,2025-10-05,48.833333333333336,-6.197,106.7984,IQAir,40.744667,40.049996281973215,38.319064117389885
296,Wisma Matahari Power,2025-10-05,51.56521739130435,-6.2087,106.7839,IQAir,53.687534,52.56949330920796,53.69173691661327
297,Wisma Matahari Power,2025-10-05,51.56521739130435,-6.2087,106.7839,IQAir,53.384457,52.556439892098005,54.05914956526174
301,AHP Capital Place,2025-10-08,61.583333333333336,-6.232,106.8205,IQAir,38.962643,38.96136057930667,38.96260815563125
302,ANTARA ETP - Bundaran HI,2025-10-08,47.21739130434783,-6.1955,106.8243,IQAir,75.183304,75.7163898117296,75.95762131700316
303,ANTARA ETP - Bundaran HI,2025-10-08,47.21739130434783,-6.1955,106.8243,IQAir,75.55312,75.67255455474627,77.29271715600883
304,Agung Sedayu Group - WTP Ebony (BGM),2025-10-08,49.083333333333336,-6.1039,106.7459,IQAir,54.21835,53.7938335969713,55.089822613226616
305,Agung Sedayu Group - WTP Ebony (BGM),2025-10-08,49.083333333333336,-6.1039,106.7459,IQAir,54.63333,53.60849604924519,55.27067064858803
306,Antara ETP - Antara Heritage Center,2025-10-08,37.541666666666664,-6.1656,106.8341,IQAir,46.229393,47.43404672389941,42.6257092958048
307,Antara ETP - Antara Heritage Center,2025-10-08,37.541666666666664,-6.1656,106.8341,IQAir,46.275505,47.78073900049421,42.94690926258568
308,Ascott Kuningan - myhome,2025-10-08,57.541666666666664,-6.2251,106.824,IQAir,38.962643,38.96136057930667,38.96260815563125
324,Cilandak Barat,2025-10-08,76.66666666666667,-6.2997,106.8006,IQAir,75.578285,77.40553217877856,78.8143027113883
325,Cilandak Barat,2025-10-08,76.66666666666667,-6.2997,106.8006,IQAir,75.578285,77.40553217877856,78.8143027113883
326,Cilandak Barat,2025-10-08,76.66666666666667,-6.2997,106.8006,IQAir,75.39124,77.40663547218574,79.08556418569731
327,Cilandak Barat,2025-10-08,76.66666666666667,-6.2997,106.8006,IQAir,75.39124,77.40663547218574,79.08556418569731
328,Cipete Selatan Asem II,2025-10-08,51.416666666666664,-6.2736,106.8042,IQAir,55.709503,53.16354317281689,53.0011544115383
329,Cipete Selatan Asem II,2025-10-08,51.416666666666664,-6.2736,106.8042,IQAir,55.709503,53.16354317281689,53.0011544115383
330,Cipete Selatan Asem II,2025-10-08,51.416666666666664,-6.2736,106.8042,IQAir,55.496994,53.27426829096517,53.30410973320698
331,Cipete Selatan Asem II,2025-10-08,51.416666666666664,-6.2736,106.8042,IQAir,55.496994,53.27426829096517,53.30410973320698
371,"Duitku PG, Kebon Jeruk",2025-10-08,46.25,-6.1916,106.7588,IQAir,48.605347,55.05478770914041,48.22631455522956
